CohortMonth,1M,3M
2019-08,100.0,100.0
2019-09,100.0,100.0
2019-10,100.0,100.0
2019-11,100.0,100.0
2019-12,100.0,100.0
2020-01,100.0,100.0
2020-02,100.0,100.0
2020-03,100.0,100.0
2020-04,100.0,100.0
2020-05,100.0,100.0
2020-06,100.0,100.0
2020-07,100.0,100.0
2020-08,100.0,100.0
2020-09,100.0,100.0
2020-10,100.0,100.0
2020-11,100.0,100.0
2020-12,100.0,100.0
2021-01,100.0,100.0
2021-02,100.0,100.0
2021-03,100.0,100.0
2021-04,100.0,100.0
2021-05,100.0,100.0
2021-06,100.0,100.0
2021-07,100.0,100.0
2021-08,100.0,100.0
2021-09,100.0,100.0
2021-10,100.0,100.0
2021-11,100.0,100.0
2021-12,100.0,100.0
2022-01,100.0,100.0
2022-02,100.0,100.0
2022-03,100.0,100.0
2022-04,100.0,100.0
2022-05,100.0,100.0
2022-06,100.0,100.0
2022-07,100.0,100.0
2022-08,100.0,100.0
2022-09,100.0,100.0
2022-10,100.0,100.0
2022-11,100.0,100.0
2022-12,100.0,100.0
2023-01,100.0,100.0
2023-02,100.0,100.0
2023-03,100.0,100.0
2023-04,100.0,100.0
2023-05,100.0,100.0
2023-06,100.0,100.0
2023-07,100.0,100.0
2023-08,100.0,100.0
2023-09,100.0,100.0
2023-10,100.0,100.0
2023-11,100.0,100.0
2023-12,100.0,100.0
2024-01,100.0,100.0
2024-02,100.0,100.0
2024-03,100.0,100.0
2024-04,100.0,100.0
2024-05,100.0,100.0
2024-06,100.0,100.0
2024-07,100.0,100.0
2024-08,100.0,100.0
2024-09,100.0,100.0
2024-10,100.0,100.0
2024-11,100.0,100.0
2024-12,100.0,100.0
2025-01,100.0,100.0
2025-02,100.0,100.0
2025-03,100.0,100.0
2025-04,100.0,100.0
2025-05,100.0,0.0
2025-06,100.0,0.0
